Brand,Model,Variant,Manufacturing_Year,Driven_Kilometer,Fuel,Number of Owner,Location,Price
Hyundai,i10,ERA 1.1 IRDE ,2014,29383,Petrol,2,New Delhi,266199
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2013,10558,Petrol,1,New Delhi,392199
Maruti,Swift,LXI ,2020,10568,Petrol,1,New Delhi,592499
Maruti,Swift,LXI ,2019,27659,Petrol,1,New Delhi,533399
KIA,SELTOS,HTX 1.5 PETROL MT ,2020,32799,Petrol,1,New Delhi,1383099
Mercedes,Class,C 200 AVANTGARDE ,2014,37531,Petrol,1,New Delhi,2033499
Renault,Kiger,RXZ 1.0 MT DUAL TONE,2021,14474,Petrol,2,New Delhi,823199
Maruti,Swift,LXI ,2020,17435,Petrol,1,New Delhi,592499
Honda,City,VX MT PETROL ,2014,61168,Petrol,2,New Delhi,658499
MG,ASTOR,SHARP (O) 1.5 CVT IVORY AUTOMATIC,2022,2091,Petrol,1,New Delhi,1767999
KIA,SELTOS,HTK PLUS 1.5 DIESEL ,2019,25067,Diesel,1,New Delhi,1307499
Renault,Kwid,1.0 RXT Opt ,2021,368,Petrol,1,New Delhi,505099
Hyundai,SANTRO,1.1 ERA EXICUTIVE ,2020,3812,Petrol,2,New Delhi,471599
Tata,ALTROZ,XM+ 1.2 RTN,2021,7416,Petrol,1,New Delhi,720176
Jaguar,XF,2.2 DIESEL ,2013,28909,Diesel,2,New Delhi,1549999
KIA,SELTOS,GTX + AT PETROL ,2019,37357,Petrol,1,New Delhi,1659099
Maruti,Dzire,LXI ,2018,25653,Petrol,1,New Delhi,542299
Honda,WR-V,1.2 i-VTEC VX MT ,2017,17511,Petrol,1,New Delhi,779899
Tata,ALTROZ,XE 1.2 ,2021,7472,Petrol,1,New Delhi,641999
Maruti,Baleno,SIGMA 1.2 K12 ,2020,8966,Petrol,1,New Delhi,603599
Nissan,MAGNITE,XL Turbo MT,2022,5306,Petrol,1,New Delhi,843099
Maruti,Star,VXI ,2011,23629,Petrol,2,New Delhi,231699
Hyundai,i10,MAGNA 1.2 KAPPA2 ,2011,72229,Petrol,1,New Delhi,282899
Tata,ALTROZ,XZ 1.2 ,2022,1086,Petrol,1,New Delhi,861699
Hyundai,i10,MAGNA 1.1 IRDE2 ,2014,41439,Petrol,2,New Delhi,349399
Renault,Kiger,RXT 1.0 AMT ,2021,5972,Petrol,1,New Delhi,830299
Hyundai,i10,ERA 1.1 IRDE ,2009,21723,Petrol,1,New Delhi,210249
Maruti,800,VXI ,2014,28210,Petrol,1,New Delhi,270299
Maruti,Alto,LXI ,2010,48001,Petrol,2,New Delhi,170299
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2016,19575,Petrol,1,New Delhi,501099
MG,PLUS,SHARP DCT,2020,3483,Petrol,1,New Delhi,1890299
Hyundai,i10,ERA 1.1 IRDE ,2009,44327,Petrol,1,New Delhi,199699
Honda,Brio,1.2 E MT I VTEC ,2015,92929,Petrol,2,New Delhi,275399
Jeep,Compass,1.4 SPORT PETROL ,2019,42490,Petrol,2,New Delhi,1376149
Maruti,Wagon R 1.0,LXI ,2015,35326,Petrol,1,New Delhi,311699
KIA,SELTOS,HTK 1.5 PETROL ,2020,32873,Petrol,1,New Delhi,1189899
Hyundai,i10,MAGNA 1.2 VTVT ,2020,6470,Petrol,1,New Delhi,608399
Honda,City,VX CVT PETROL ,2015,52359,Petrol,2,New Delhi,720099
MG,PLUS,SHARP HYBRID PETROL ,2020,12185,Petrol,2,New Delhi,1848299
Maruti,Wagon R 1.0,LXI CNG ,2014,64132,CNG,1,New Delhi,325799
Datsun,Go,T (O) ,2021,13021,Petrol,1,New Delhi,463499
Nissan,Micra,XE DIESEL ,2014,63753,Diesel,1,New Delhi,275299
Jeep,Compass,1.4 LONGITUDE (O) AT ,2019,23327,Petrol,1,New Delhi,2012799
Jeep,Compass,2.0 LIMITED ,2019,46860,Diesel,1,New Delhi,1941699
Renault,Kwid,1.0 RXT Opt ,2020,6452,Petrol,2,New Delhi,406399
Toyota,CRUISER,HIGH AT,2021,6724,Petrol,1,New Delhi,1183499
Hyundai,i10,SPORTZ 1.2 AT ,2009,38983,Petrol,1,New Delhi,202099
Hyundai,i10,MAGNA 1.2 KAPPA VTVT ,2019,19804,Petrol,1,New Delhi,509199
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2016,15927,Petrol,1,New Delhi,465199
Hyundai,Verna,1.6 CRDI SX + AT ,2018,33499,Diesel,1,New Delhi,1149399
Maruti,Swift,VXI ,2010,20730,Petrol,1,New Delhi,280999
Hyundai,i20,SPORTZ 1.2 ,2015,25414,Petrol,1,New Delhi,530099
Ford,Ecosport,1.5AMBIENTE TI VCT ,2019,30002,Petrol,1,New Delhi,688399
Honda,City,SV MT PETROL ,2017,58689,Petrol,1,New Delhi,732399
Nissan,Micra,XV CVT ,2016,8096,Petrol,1,New Delhi,476399
KIA,SONET,GTX PLUS 1.5D AT,2021,38187,Diesel,1,New Delhi,1389299
Renault,Kwid,1.0 RXT Opt ,2020,10572,Petrol,2,New Delhi,452199
Maruti,Ciaz,1.5 SIGMA SHVS ,2021,18855,Petrol,1,New Delhi,885699
Maruti,Celerio,VXI AMT ,2014,41822,Petrol,3,New Delhi,339599
KIA,SONET,GTX + 1.0 IMT,2020,19359,Petrol,1,New Delhi,1314099
Hyundai,Creta,1.5 SX (O) AT ,2020,16315,Petrol,1,New Delhi,1755399
Nissan,MAGNITE,XL Turbo MT,2021,13713,Petrol,1,New Delhi,841249
Maruti,Wagon R 1.0,LXI ,2014,59277,Petrol,1,New Delhi,342699
MG,HECTOR,SHARP DCT PETROL ,2019,9378,Petrol,1,New Delhi,1794899
Maruti,IGNIS,SIGMA 1.2 K12 ,2020,15199,Petrol,1,New Delhi,506599
Maruti,Baleno,SIGMA 1.2 K12 ,2019,25009,Petrol,2,New Delhi,545299
KIA,SELTOS,HTK PLUS AT 1.5 DIESEL ,2020,33981,Diesel,2,New Delhi,1465299
Maruti,Swift,VXI ,2019,35953,Petrol,1,New Delhi,603299
Hyundai,Verna,FLUIDIC 1.6 SX VTVT OPT AT ,2013,60368,Petrol,2,New Delhi,523299
Maruti,K10,VXI ,2018,2920,Petrol,1,New Delhi,408999
Mahindra,Scorpio,S10 ,2017,52999,Diesel,1,New Delhi,1074399
Honda,City,V MT PETROL ,2014,83263,Petrol,1,New Delhi,549799
Renault,Kwid,1.0 RXT Opt ,2021,2863,Petrol,1,New Delhi,473299
KIA,SELTOS,HTX+ AT 1.5 DIESEL ,2020,32605,Diesel,2,New Delhi,1539699
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2019,21043,Petrol,1,New Delhi,540599
Hyundai,i10,MAGNA 1.1 IRDE2 ,2011,61943,Petrol,1,New Delhi,259399
BMW,X3,XDRIVE 20D ,2013,71180,Diesel,2,New Delhi,1126499
Renault,Kiger,RXZ 1.0 TURBO MT,2021,7733,Petrol,1,New Delhi,901699
Maruti,Celerio,ZXI AMT ,2021,9278,Petrol,1,New Delhi,607599
Hyundai,i20,ERA 1.4 CRDI ,2013,30354,Diesel,1,New Delhi,306299
Honda,Jazz,1.2 S AT ,2016,48225,Petrol,2,New Delhi,526999
Volkswagen,Polo,GT TSI 1.2 PETROL AT ,2018,96751,Petrol,1,New Delhi,747899
Maruti,Baleno,ZETA 1.2 K12 CVT ,2018,10984,Petrol,1,New Delhi,660699
Hyundai,i20,MAGNA O 1.2 ,2013,59194,Petrol,2,New Delhi,342799
Honda,Jazz,1.2 VX I-VTECH ,2015,28170,Petrol,1,New Delhi,543799
Maruti,Swift,VXI AMT ,2019,45067,Petrol,2,New Delhi,622999
Maruti,Baleno,DELTA 1.2 K12 ,2019,12452,Petrol,2,New Delhi,668599
Toyota,CRUISER,PREMIUM MT,2021,18042,Petrol,2,New Delhi,1029499
Honda,City,VX MT PETROL ,2020,7632,Petrol,1,New Delhi,1297699
Maruti,Wagon-R,ZXI 1.2 ,2020,12418,Petrol,1,New Delhi,608599
Renault,Kwid,1.0 RXT Opt AT ,2021,35187,Petrol,1,New Delhi,500799
KIA,SONET,GTX PLUS 1.5D MT,2021,14458,Diesel,1,New Delhi,1544149
Maruti,Alto,LXI ,2010,55163,Petrol,1,New Delhi,188099
Honda,City,SV MT PETROL ,2014,20567,Petrol,2,New Delhi,599249
Maruti,Alto,LXI OPT ,2021,2229,Petrol,1,New Delhi,428399
Honda,City,V MT PETROL ,2018,68366,Petrol,1,New Delhi,815699
Hyundai,VENUE,S MT 1.2 KAPPA ,2021,15263,Petrol,1,New Delhi,834099
Hyundai,i10,MAGNA 1.1 IRDE2 ,2015,72272,Petrol,2,New Delhi,330899
Datsun,Go,A ,2019,27411,Petrol,1,New Delhi,328049
Maruti,Alto,LXI ,2021,2303,Petrol,1,New Delhi,391399
Honda,Amaze,1.2 EMT (O) I-VTEC ,2018,19906,Petrol,1,New Delhi,553899
Honda,City,VX CVT PETROL ,2015,98060,Petrol,1,New Delhi,705399
Jeep,Compass,2.0 LONGITUDE ,2018,72575,Diesel,1,New Delhi,1204299
Honda,Amaze,1.2 S (O) MT I VTEC ,2018,58093,Petrol,2,New Delhi,506299
Tata,NEXON,XMA 1.2 ,2019,28111,Petrol,1,New Delhi,787499
Maruti,IGNIS,SIGMA 1.2 K12 ,2020,9622,Petrol,2,New Delhi,509099
Honda,City,V MT PETROL ,2020,4216,Petrol,1,New Delhi,1096749
Maruti,Baleno,SIGMA 1.2 K12 ,2020,36041,Petrol,1,New Delhi,551299
Maruti,Dzire,VXI ,2017,18949,Petrol,1,New Delhi,631299
Maruti,Brezza,VDI OPT ,2017,28496,Diesel,2,New Delhi,647599
Honda,Amaze,1.5 VXMT I DTEC ,2018,52220,Diesel,1,New Delhi,692849
Honda,Amaze,1.2 V CVT I VTEC ,2019,13291,Petrol,2,New Delhi,784599
Maruti,Wagon-R,1.0 Lxi (o) cng ,2021,34542,CNG,1,New Delhi,683199
Maruti,Celerio,VXI AMT ,2020,10515,Petrol,1,New Delhi,574699
Honda,City,S MT PETROL ,2011,52035,Petrol,1,New Delhi,372999
Renault,Kwid,1.0 RXT Opt ,2019,50466,Petrol,1,New Delhi,414699
Honda,City,VX MT PETROL ,2020,6873,Petrol,1,New Delhi,1284799
Maruti,Wagon-R,ZXI 1.2 ,2020,10777,Petrol,1,New Delhi,608599
Maruti,Brezza,ZDI PLUS DUAL TONE ,2017,38072,Diesel,1,New Delhi,788599
Maruti,Wagon R 1.0,VXI AMT ,2018,15854,Petrol,1,New Delhi,510899
Hyundai,i20,Magna Executive 1.2 ,2018,15702,Petrol,1,New Delhi,581799
Renault,Kwid,1.0 RXL ,2018,42340,Petrol,1,New Delhi,332399
Maruti,Ritz,ZXI ,2009,56793,Petrol,1,New Delhi,227499
Tata,Tiago,XE 1.2 REVOTRON ,2019,14201,Petrol,1,New Delhi,460599
Honda,City,S MT PETROL ,2010,39565,Petrol,1,New Delhi,391699
Renault,Kwid,1.0 RXT Opt ,2019,31621,Petrol,1,New Delhi,422799
MG,HECTOR,SHARP DCT PETROL ,2019,12283,Petrol,1,New Delhi,1665399
Tata,Tiago,XTA 1.2 PETROL ,2021,6990,Petrol,1,New Delhi,684599
Maruti,Baleno,DELTA 1.2 K12 AT ,2016,26314,Petrol,2,New Delhi,527799
Mahindra,3OO,1.5 W6 MT ,2019,23806,Diesel,1,New Delhi,917399
Maruti,Swift,VDI ABS ,2015,46245,Diesel,1,New Delhi,432499
Maruti,Swift,VXI AMT ,2018,34110,Petrol,1,New Delhi,626699
Renault,Kwid,RXL ,2018,55187,Petrol,2,New Delhi,321799
Tata,ALTROZ,XZ 1.2 ,2022,9734,Petrol,1,New Delhi,822499
Tata,ALTROZ,XZ 1.2 ,2021,10789,Petrol,1,New Delhi,804899
Mahindra,Thar,LX 4WD AT CONVERTIBLE ,2021,4185,Petrol,1,New Delhi,1696099
Maruti,Alto,VXI ,2019,13818,Petrol,2,New Delhi,391299
Maruti,Baleno,DELTA 1.2 K12 ,2019,24539,Petrol,1,New Delhi,671599
Maruti,Swift,LXI ,2013,53244,Petrol,1,New Delhi,376899
Jeep,Compass,2.0 LIMITED ,2018,55714,Diesel,1,New Delhi,1252199
Renault,TRIBER,1.0 RXZ ,2021,1599,Petrol,1,New Delhi,786899
Maruti,Swift,VXI ,2012,63076,Petrol,1,New Delhi,354099
Ford,Aspire,1.2 TITANIUM PETROL ,2018,33815,Petrol,1,New Delhi,568299
Hyundai,i20,1.2 SPORTS PLUS VTVT ,2020,15205,Petrol,1,New Delhi,702599
Tata,TIGOR,XZ 1.2 REVOTRON OPT ,2018,34014,Petrol,1,New Delhi,534499
Renault,Kwid,RXL ,2019,35525,Petrol,2,New Delhi,353599
Maruti,PRESSO,VXI AGS ,2022,244,Petrol,1,New Delhi,567399
Maruti,Ciaz,ALPHA 1.5 MT VTVT SHVS ,2021,4708,Petrol,1,New Delhi,1133599
Maruti,Baleno,DELTA 1.2 K12 ,2020,4260,Petrol,1,New Delhi,725599
Hyundai,Creta,1.6 VTVT SX AUTO ,2019,26097,Petrol,2,New Delhi,1353699
Hyundai,i20,SPORTZ 1.4 CRDI ,2013,65005,Diesel,1,New Delhi,336499
Honda,WR-V,1.2 i-VTEC VX MT ,2017,51606,Petrol,2,New Delhi,715999
Tata,ALTROZ,XZ 1.2 ,2020,13937,Petrol,1,New Delhi,827999
Honda,Amaze,1.2 SAT I VTEC ,2016,48381,Petrol,2,New Delhi,542399
Toyota,YARIS,G CVT ,2020,44823,Petrol,1,New Delhi,979299
Honda,Amaze,1.2 VXMT I VTEC ,2022,3031,Petrol,1,New Delhi,945599
Maruti,Baleno,DELTA 1.2 K12 ,2018,8489,Petrol,1,New Delhi,649799
Mahindra,XUV500,W9 AT ,2021,20809,Diesel,1,New Delhi,1883699
Maruti,Baleno,DELTA 1.2 K12 ,2020,36411,Petrol,1,New Delhi,711199
Hyundai,i20,SPORTZ 1.2 ,2016,9009,Petrol,1,New Delhi,554399
Renault,Kwid,RXL ,2019,5660,Petrol,1,New Delhi,404099
Honda,City,V MT PETROL ,2014,91673,Petrol,2,New Delhi,557699
Hyundai,I20,ASTA (O) 1.5 CRDI MT,2021,27082,Diesel,1,New Delhi,1138899
Hyundai,i20,ASTA 1.2 (O) ,2018,87715,Petrol,1,New Delhi,674299
Tata,Harrier,XZA DUAL TONE ,2021,16826,Diesel,1,New Delhi,2086999
Hyundai,Elantra,1.6 SX AT O ,2019,11594,Diesel,1,New Delhi,1447599
Maruti,Baleno,SIGMA 1.2 K12 ,2017,23514,Petrol,1,New Delhi,523999
Tata,TIGOR,XZ PLUS 1.2 REVOTRON ,2021,7089,Petrol,1,New Delhi,814799
Honda,City,V MT PETROL ,2019,38050,Petrol,1,New Delhi,912699
Datsun,Go,T (O) ,2021,7323,Petrol,1,New Delhi,457499
Tata,NEXON,XZA+ SUNROOF 1.2 RTN ,2021,7446,Petrol,1,New Delhi,1088799
Honda,Jazz,VX 1.2 CVT ,2021,7460,Petrol,1,New Delhi,953799
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2016,46106,Petrol,1,New Delhi,482799
Toyota,Altis,G AT ,2017,75422,Petrol,1,New Delhi,1389899
Maruti,K10,VXI ,2012,87463,Petrol,1,New Delhi,218899
Renault,Kwid,RXT ,2018,25236,Petrol,1,New Delhi,342199
Mahindra,Thar,CRDE 4X4 BS IV ,2017,14613,Diesel,2,New Delhi,710699
Volkswagen,Polo,COMFORTLINE 1.2L PETROL ,2015,86070,Petrol,1,New Delhi,434999
Honda,Jazz,ZX CVT ,2020,9871,Petrol,1,New Delhi,1000099
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2016,62740,Petrol,2,New Delhi,427799
Hyundai,Creta,1.5 SX (O) AT ,2020,31437,Petrol,1,New Delhi,1766599
Hyundai,Creta,1.4 S CRDI ,2019,71968,Diesel,1,New Delhi,957899
Maruti,Baleno,DELTA 1.2 K12 ,2019,24767,Petrol,1,New Delhi,648799
Hyundai,i20,1.2 SPORTS PLUS VTVT ,2019,30078,Petrol,1,New Delhi,707299
Tata,ALTROZ,XT 1.2,2021,13351,Petrol,1,New Delhi,773599
Honda,Jazz,1.2 S MT ,2018,50506,Petrol,2,New Delhi,543799
Maruti,Baleno,DELTA 1.2 K12 ,2019,26288,Petrol,1,New Delhi,655499
Renault,Kwid,RXT ,2017,25910,Petrol,2,New Delhi,342799
Hyundai,i10,SPORTZ (O) 1.2 AT VTVT ,2017,16636,Petrol,1,New Delhi,595899
Hyundai,VENUE,1.0 TURBO GDI SX+ AT ,2019,57770,Petrol,1,New Delhi,1039999
Maruti,Brezza,ZXI + ,2021,22317,Petrol,1,New Delhi,982499
Maruti,Dzire,VXI ,2021,14400,Petrol,1,New Delhi,741999
Hyundai,Creta,1.6 VTVT SX AUTO ,2020,29081,Petrol,1,New Delhi,1407599
Maruti,Wagon-R,ZXI 1.2 ,2020,23797,Petrol,1,New Delhi,608599
Maruti,Baleno,DELTA 1.2 K12 ,2018,26445,Petrol,1,New Delhi,604899
MG,HECTOR,SHARP 2.0 DIESEL ,2019,50353,Diesel,1,New Delhi,1518299
Maruti,Celerio,ZXI AMT ,2016,32649,Petrol,1,New Delhi,435599
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2019,37953,Petrol,2,New Delhi,521999
Mahindra,Thar,LX D 4*4 MT HT ,2021,6962,Diesel,1,New Delhi,1702699
Maruti,Celerio,ZXI OPT AMT ,2017,81353,Petrol,1,New Delhi,422099
Tata,ALTROZ,XZ 1.2 ,2020,37413,Petrol,1,New Delhi,795399
MG,HECTOR,SUPER DIESEL ,2019,52465,Diesel,2,New Delhi,1516099
Hyundai,i20,1.2 SPORTS PLUS VTVT ,2020,28785,Petrol,1,New Delhi,698099
Honda,Amaze,1.2 V CVT I VTEC ,2018,23495,Petrol,1,New Delhi,773999
Honda,City,V MT PETROL ,2020,24280,Petrol,1,New Delhi,1076199
Hyundai,Creta,S PETROL MT ,2020,7757,Petrol,1,New Delhi,1328499
Maruti,Baleno,DELTA 1.2 K12 ,2019,25647,Petrol,1,New Delhi,675199
Maruti,Celerio,VXI ,2018,12407,Petrol,1,New Delhi,466049
Honda,Amaze,1.2 VXMT I VTEC ,2018,1546,Petrol,1,New Delhi,720399
Maruti,Baleno,ZETA 1.2 K12 ,2016,22535,Petrol,1,New Delhi,578099
Skoda,Rapid,1.0 AMBITION TSI AT ,2020,16292,Petrol,2,New Delhi,1167399
Maruti,Baleno,DELTA 1.2 K12 ,2019,16402,Petrol,1,New Delhi,679799
Maruti,Baleno,DELTA 1.2 K12 ,2019,24453,Petrol,2,New Delhi,659099
Volkswagen,TIGUAN,HIGHLINE A/T ,2018,74860,Diesel,1,New Delhi,2139099
Maruti,Celerio,VXI ,2019,27718,Petrol,1,New Delhi,470699
Maruti,Swift,ZXI+ ,2020,14030,Petrol,1,New Delhi,762599
Maruti,Baleno,DELTA 1.2 K12 ,2019,29383,Petrol,1,New Delhi,660999
Maruti,K10,VXI (O) AMT ,2018,13002,Petrol,2,New Delhi,407299
Maruti,Alto,LXI CNG ,2021,23812,CNG,1,New Delhi,510799
Hyundai,Creta,1.6 SX PLUS PETROL ,2015,38580,Petrol,2,New Delhi,785599
Hyundai,Verna,SX PETROL MT ,2021,20361,Petrol,1,New Delhi,1191899
Maruti,Alto,VXI PLUS ,2021,4889,Petrol,1,New Delhi,435499
Maruti,Baleno,DELTA 1.2 K12 ,2020,29525,Petrol,2,New Delhi,607999
Honda,WR-V,1.2 i-VTEC S MT ,2018,18136,Petrol,2,New Delhi,665799
Hyundai,Creta,1.6 VTVT SX AUTO ,2019,31594,Petrol,1,New Delhi,1353699
Honda,Jazz,1.2 ZX MT ,2020,10535,Petrol,1,New Delhi,893899
Tata,ALTROZ,XZ 1.2 ,2020,32106,Petrol,1,New Delhi,822499
Honda,WR-V,1.2 i-VTEC VX MT ,2019,43575,Petrol,1,New Delhi,813199
Maruti,Ciaz,ALPHA 1.3 DDIS SHVS ,2019,35969,Diesel,1,New Delhi,903299
Maruti,Cross,SIGMA 1.5 SHVS ,2022,1189,Petrol,1,New Delhi,941199
Tata,TIGOR,XZ PLUS 1.2 REVOTRON ,2021,9553,Petrol,1,New Delhi,814799
Honda,City,V MT PETROL ,2019,29922,Petrol,1,New Delhi,923399
Ford,Ecosport,1.5 TITANIUM TI VCT ,2016,46901,Petrol,2,New Delhi,630199
Hyundai,Creta,S CRDI ,2021,34068,Diesel,1,New Delhi,1450499
Maruti,Baleno,DELTA 1.2 K12 ,2019,22380,Petrol,1,New Delhi,643239
Honda,Amaze,1.2 V CVT I VTEC ,2019,29577,Petrol,1,New Delhi,794399
Maruti,Swift,ZXI ,2014,63278,Petrol,1,New Delhi,446999
Hyundai,i20,1.2 SPORTS PLUS VTVT ,2019,45805,Petrol,1,New Delhi,702299
Maruti,K10,VXI ,2017,95218,Petrol,1,New Delhi,331199
Renault,Kwid,1.0 RXT Opt ,2018,75123,Petrol,1,New Delhi,342999
Hyundai,i20,SPORTZ 1.4 CRDI ,2013,121564,Diesel,2,New Delhi,348599
Maruti,Baleno,ZETA 1.2 K12 ,2019,19398,Petrol,1,New Delhi,728199
Hyundai,SANTRO,1.1 MAGNA AMT ,2019,20498,Petrol,1,New Delhi,527699
Maruti,Cross,ZETA AT 1.5 SHVS,2021,5268,Petrol,1,New Delhi,1108699
Toyota,Liva,G SP ,2013,36330,Petrol,1,New Delhi,376599
Hyundai,SANTRO,SPORTZ 1.1 ,2020,17336,Petrol,1,New Delhi,473899
MG,HECTOR,SHARP DCT PETROL ,2019,36621,Petrol,1,New Delhi,1778399
Honda,WR-V,1.2 i-VTEC VX MT ,2017,84302,Petrol,1,New Delhi,671699
Maruti,Wagon-R,1.0 Lxi (o) cng ,2021,16511,CNG,1,New Delhi,684099
Tata,Hexa,Varicor 400 XMA ,2018,75883,Diesel,1,New Delhi,1154999
MG,HECTOR,SHARP DCT PETROL ,2019,38903,Petrol,1,New Delhi,1634199
Toyota,Altis,GL ,2017,58885,Petrol,1,New Delhi,1136899
Maruti,K10,VXI ,2019,5821,Petrol,1,New Delhi,428299
Honda,City,V MT PETROL ,2018,23860,Petrol,1,New Delhi,880599
Hyundai,SANTRO,ASTA 1.1 MT ,2019,12664,Petrol,1,New Delhi,558899
Maruti,Cross,ZETA AT 1.5 SHVS,2021,15291,Petrol,2,New Delhi,1019399
Hyundai,i10,MAGNA 1.2 VTVT ,2015,46249,Petrol,1,New Delhi,393599
Maruti,Celerio,VXI ,2019,33888,Petrol,2,New Delhi,441899
Maruti,IGNIS,DELTA 1.2 K12 ,2021,12799,Petrol,1,New Delhi,642999
Maruti,IGNIS,SIGMA 1.2 K12 ,2018,18645,Petrol,1,New Delhi,466099
Maruti,Baleno,ZETA 1.2 K12 ,2018,30672,Petrol,1,New Delhi,647999
Maruti,Alto,VXI ,2019,37786,Petrol,1,New Delhi,346054
Hyundai,NIOS,SPORTZ PETROL ,2020,16489,Petrol,1,New Delhi,676399
Tata,NEXON,XZ+ 1.5 ,2021,6694,Diesel,1,New Delhi,1261699
Maruti,IGNIS,ALPHA 1.2 K12 AMT ,2019,25350,Petrol,1,New Delhi,670699
Hyundai,Eon,MAGNA PLUS ,2015,43616,Petrol,2,New Delhi,305699
Maruti,PRESSO,VXI PLUS AGS ,2020,2258,Petrol,1,New Delhi,528499
Tata,Tiago,XE 1.2 REVOTRON ,2018,33114,Petrol,1,New Delhi,425099
MG,HECTOR,SHARP DCT PETROL ,2020,33016,Petrol,1,New Delhi,1804899
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2016,19577,Petrol,1,New Delhi,428299
Tata,Safari,XE 2.0 KRYOTEC ,2021,17534,Diesel,1,New Delhi,1536799
Mahindra,3OO,1.2 W6 MT,2020,17763,Petrol,1,New Delhi,929799
Maruti,Ciaz,VXI PLUS ,2016,14253,Petrol,1,New Delhi,692799
Hyundai,New,2WD AT GLS PETROL ,2019,38848,Petrol,1,New Delhi,2139499
Mahindra,3OO,1.2 W6 MT,2021,7334,Petrol,1,New Delhi,995499
Mahindra,XUV500,W8 FWD ,2017,84279,Diesel,2,New Delhi,969399
Toyota,Glanza,G CVT ,2021,8225,Petrol,1,New Delhi,927399
Mahindra,Thar,LX D 4*4 MT HT ,2021,10292,Diesel,1,New Delhi,1673799
Ford,Ecosport,1.5 TITANIUM TI VCT ,2016,53040,Petrol,1,New Delhi,702699
Maruti,Baleno,DELTA 1.2 K12 ,2016,26114,Petrol,1,New Delhi,525199
Maruti,Celerio,VXI ,2017,25646,Petrol,1,New Delhi,432099
Hyundai,Creta,1.6 SX AT CRDI ,2020,42396,Diesel,1,New Delhi,1603199
Maruti,Brezza,VXI ,2020,42315,Petrol,2,New Delhi,792799
Tata,Hexa,Varicor 400 XM ,2019,43696,Diesel,1,New Delhi,1505499
Hyundai,i10,MAGNA 1.2 VTVT ,2018,39304,Petrol,1,New Delhi,472699
Hyundai,i10,MAGNA 1.2 KAPPA VTVT ,2017,18003,Petrol,1,New Delhi,477220
Honda,WR-V,1.2 i-VTEC VX MT ,2018,41604,Petrol,1,New Delhi,755199
Honda,Amaze,1.2 EMT I VTEC ,2014,49342,Petrol,1,New Delhi,418099
Honda,Civic,ZX CVT PETROL ,2019,45604,Petrol,1,New Delhi,1698999
Hyundai,Xcent,S 1.2 ,2015,35557,Petrol,1,New Delhi,445599
Maruti,Celerio,ZXI AMT ,2017,40735,Petrol,1,New Delhi,448699
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2014,50886,Petrol,1,New Delhi,398899
Hyundai,i10,ASTA 1.2 KAPPA VTVT ,2016,80982,Petrol,2,New Delhi,460899
Honda,Amaze,1.2 EXMT I VTEC ,2014,85454,Petrol,1,New Delhi,414999
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2019,39642,Petrol,1,New Delhi,530699
Maruti,Baleno,DELTA 1.2 K12 ,2016,40459,Petrol,2,New Delhi,525199
Hyundai,NIOS,SPORTZ 1.2 AT ,2020,7669,Petrol,2,New Delhi,725699
Maruti,Dzire,VXI ,2017,54796,Petrol,1,New Delhi,598699
Maruti,Baleno,ALPHA 1.2 K12 ,2017,23204,Petrol,1,New Delhi,627149
Hyundai,Creta,1.6 S ,2015,49814,Petrol,1,New Delhi,857499
Maruti,Baleno,DELTA 1.2 K12 ,2019,31923,Petrol,2,New Delhi,597199
Toyota,Liva,G ,2012,43321,Petrol,1,New Delhi,324899
Mahindra,3OO,1.2 W6 MT,2021,5184,Petrol,1,New Delhi,1092499
Maruti,Baleno,DELTA 1.2 K12 ,2019,21613,Petrol,1,New Delhi,693699
Skoda,Rapid,STYLE 1.0TSI MT ,2021,9999,Petrol,1,New Delhi,1194199
Maruti,800,LXI ,2017,17800,Petrol,2,New Delhi,300099
Hyundai,i10,SPORTZ 1.2 KAPPA VTVT ,2016,41119,Petrol,1,New Delhi,458599
Honda,WR-V,1.2 i-VTEC VX MT ,2017,18954,Petrol,1,New Delhi,758499
Ford,Ecosport,1.5 TREND TI VCT ,2019,28560,Petrol,1,New Delhi,784799
Maruti,Brezza,ZDI ,2019,23602,Diesel,1,New Delhi,898599
Maruti,Baleno,DELTA 1.2 K12 ,2016,40552,Petrol,1,New Delhi,525199
Maruti,IGNIS,ZETA 1.2 K12 ,2017,21204,Petrol,1,New Delhi,519499
Maruti,K10,VXI ,2018,23281,Petrol,1,New Delhi,354499
Hyundai,i20,Magna Executive Diesel ,2018,57975,Diesel,1,New Delhi,668899
Honda,Brio,1.2 VX MT I VTEC ,2017,30553,Petrol,1,New Delhi,469299
Maruti,800,LXI ,2019,8474,Petrol,1,New Delhi,340599
